"filename", "language", "JavaScript", "HTML", "JSON", "JavaScript JSX", "Markdown", "CSS", "XML", "comment", "blank", "total"
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\package-lock.json", "JSON", 0, 0, 6447, 0, 0, 0, 0, 0, 1, 6448
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\Router.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\assets\icon\hamburgerIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\assets\logo\appleLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\assets\logo\facebookLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\assets\logo\githubLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\assets\logo\googleLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\auth\firebase.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 6, 3, 26
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\header\Account.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 9, 44
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\header\Branding.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\header\Header.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 18, 15, 95
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\header\SearchBarHead.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"z:\trash\support-stock-investment-using-ai-and-fundamental-analysis\client\src\components\sideBar\OutSideOfSideBarClick.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
